# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,3.320000000000000000e+02,4.621060575997888442e+00,0.000000000000000000e+00,1.140000000000000036e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,2.800000000000000000e+01,2.652728708484859155e+01,-6.671818661782698001e-01,2.443409136003167248e+01,9.122624828796546126e+00,1.217226730527709577e-02,9.906010773883798493e+01
2.000000000000000000e+00,3.230000000000000000e+02,4.704554881378561149e+00,0.000000000000000000e+00,1.250099999999999945e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,2.108564585919793188e+01,2.736056252989893522e+01,7.915280654399794003e+00,2.318167677932158455e+01,1.879514315189183549e+01,8.025018277768580788e-03,8.733747576305124483e+01
3.000000000000000000e+00,6.480000000000000000e+02,2.674853143618026063e+00,0.000000000000000000e+00,9.852000000000000313e+00,3.000000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,2.000000000000000000e+00,9.186600259951902103e+00,4.952580852566356384e+00,3.218205177856883648e+00,-3.415296477374643302e+01,5.362720284572960594e+01,7.688776739607384059e+01,9.334477360372071075e+01,3.540443154414054305e+01
4.000000000000000000e+00,5.310000000000000000e+02,2.837945335015874093e+00,0.000000000000000000e+00,1.150000000000000000e+01,3.000000000000000000e+01,5.000000000000000000e+00,1.500000000000000000e+01,2.000000000000000000e+00,6.561116155681553153e+00,5.171394243156147041e+00,7.522493934877204858e+00,-4.708375387281581936e+01,5.118081997476188860e+01,8.149938372757722505e+01,6.198126347172694750e+01,1.783854654969308839e+01
5.000000000000000000e+00,7.880000000000000000e+02,2.616611051344927219e+00,2.000000000000000000e+00,9.101000000000000867e+00,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,-5.084627852813110138e+00,4.870205052909433618e+00,6.381191748279486653e+00,2.956936556966971708e+01,9.720609577451081407e+01,1.000000000000000000e+02,7.425766565139770137e+01,4.368360802230323969e+01
6.000000000000000000e+00,6.130000000000000000e+02,2.837574237379013375e+00,0.000000000000000000e+00,1.190099999999999980e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.340784217263625067e+00,4.497472485400365372e+00,4.402655883095053291e+00,-3.852234699754709624e+01,5.118638643931479493e+01,7.704149912908987119e+01,8.858133688305521503e+01,2.847369316144024509e+01
7.000000000000000000e+00,9.090000000000000000e+02,2.654803841357823213e+00,2.000000000000000000e+00,1.190000000000000036e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,3.186312501535020658e+00,4.549912114806616614e+00,2.732114958180515973e+00,-1.532017062234559646e+01,9.599650153169518774e+01,1.000000000000000000e+02,9.470469260908681974e+01,7.295638221432811577e+01
8.000000000000000000e+00,7.140000000000000000e+02,2.782242095463393738e+00,2.000000000000000000e+00,1.155100000000000016e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,2.804057390472763700e+00,4.899695387354185527e+00,8.616302951173828717e+00,-3.101967173083540530e+01,9.615816138122653456e+01,1.000000000000000000e+02,4.854662264827089047e+01,4.096282331732876969e+01
9.000000000000000000e+00,3.360000000000000000e+02,3.918242055616030672e+00,0.000000000000000000e+00,1.184999999999999964e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+01,8.205289413356869233e+00,2.269257802683034342e+01,-1.764154501651745832e+01,3.497636916575953592e+01,3.112345790847093951e+01,8.274872627864748864e-02,6.813654471064683094e+01
1.000000000000000000e+01,6.030000000000000000e+02,2.843199942950092041e+00,0.000000000000000000e+00,1.225000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.270969817182916017e+00,3.953724880951760667e+00,4.204834457266911407e+00,-4.258358595575517569e+01,5.110200085574862072e+01,7.767996519753067730e+01,8.954426798706988677e+01,2.294640479898099628e+01
1.100000000000000000e+01,2.990000000000000000e+02,4.685630260117086721e+00,0.000000000000000000e+00,1.260100000000000087e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,2.800000000000000000e+01,2.039069134739804667e+01,-8.179789619747117158e+00,2.346554609824369919e+01,9.122624828796546126e+00,2.611161206372725196e-01,8.686026676581023764e+01
1.200000000000000000e+01,3.290000000000000000e+02,4.785026590507134969e+00,0.000000000000000000e+00,1.685000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,2.476126771052684816e+01,1.048893026038297371e+01,-1.737274670071213123e+01,2.197460114239297724e+01,1.385670663949487391e+01,2.700310335238850357e+01,6.869873819523714076e+01
1.300000000000000000e+01,7.320000000000000000e+02,2.784197642652323168e+00,0.000000000000000000e+00,1.195299999999999940e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.763242778706754166e+00,4.494062423022210595e+00,4.003932417376460329e+00,-1.666045771601794101e+01,5.198703536021515248e+01,8.013507245095212284e+01,9.044807989890807676e+01,7.018400974603821396e+01
1.400000000000000000e+01,5.260000000000000000e+02,3.003591996337815928e+00,0.000000000000000000e+00,1.345100000000000051e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.363700630802746616e+00,2.224737108040105937e+00,7.677088871084816191e+00,-4.248373661805172929e+01,4.869612005493276286e+01,7.868640629304194078e+01,6.014368444916127032e+01,2.307167744095682949e+01
1.500000000000000000e+01,5.870000000000000000e+02,2.869864427619702951e+00,0.000000000000000000e+00,1.265099999999999980e+01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.274440788060665852e+00,3.323746611056677125e+00,5.361313866892958302e+00,-4.228711520330698193e+01,5.070203358570445573e+01,7.818221966294733249e+01,8.276899370424661129e+01,2.331991334693378448e+01
1.600000000000000000e+01,2.460000000000000000e+02,4.653576724649741259e+00,0.000000000000000000e+00,2.350199999999999889e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-3.000000000000000000e+01,1.356846560826259918e+01,3.393999353120072726e+01,-2.776771945347192627e+01,2.394634913025388201e+01,2.708446676816198817e+01,2.990709952799264215e-04,4.717710541624622778e+01
1.700000000000000000e+01,3.520000000000000000e+02,4.844413570584019446e+00,0.000000000000000000e+00,5.090800000000000125e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-3.000000000000000000e+01,1.633917999319258740e+01,1.968274705634640398e+01,3.326266318230640895e+00,2.108379644123970564e+01,2.434905556910021573e+01,3.716040755341376567e-01,9.507607791977922318e+01
1.800000000000000000e+01,3.200000000000000000e+02,4.172010344579414109e+00,0.000000000000000000e+00,2.190299999999999869e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-8.823137887548586633e+00,3.105130917238337673e+00,1.266935253109295978e+01,6.338954778068882945e+01,3.116984483130878658e+01,7.928604887821728653e+01,1.105951528742796697e+01,6.636256611816879314e+00
1.900000000000000000e+01,9.010000000000000000e+02,4.186409428853082204e+00,2.000000000000000000e+00,2.730099999999999838e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-5.572748537927108003e+00,4.329027910184247929e+00,2.721580414932809333e+00,1.150140019406835279e+01,8.487812641728810092e+01,1.000000000000000000e+02,9.473104535950291449e+01,8.061397340853687865e+01
2.000000000000000000e+01,8.380000000000000000e+02,4.227076067805352722e+00,2.000000000000000000e+00,2.735399999999999920e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.986260364254135879e+00,4.732592037708908350e+00,3.526449378912029697e+00,2.248832993821262960e+01,8.482394630368182220e+01,1.000000000000000000e+02,9.232095041922438838e+01,5.795143053892874718e+01
